approach,chosen_model,system,dataset,repeat,num_rows,num_features,mape,mae,rmse
improved_v8,cart,xz,vmlinux-5.10.tar.csv,25,1999,33,0.019820098714088342,0.1470123008549504,0.22321424402902357
improved_v8,cart,xz,vmlinux-5.10.tar.csv,26,1999,33,0.02026746562122829,0.1473093830559465,0.21666338145492217
improved_v8,cart,xz,vmlinux-5.10.tar.csv,27,1999,33,0.02004801086678817,0.15120818180075854,0.2299094337685365
improved_v8,cart,xz,vmlinux-5.10.tar.csv,28,1999,33,0.020936824413724745,0.16051323010516674,0.24603425482135674
improved_v8,cart,xz,vmlinux-5.10.tar.csv,29,1999,33,0.02424487373963517,0.17269777081974114,0.33533825246897464
improved_v8,cart,xz,vmlinux-5.10.tar.csv,30,1999,33,0.021365039479785852,0.16792655644015442,0.2663047984857052
improved_v8,cart,z3,AUFNIRA_z3.637557.smt2.csv,1,1010,12,0.003926245797607596,0.30072489391796337,0.5873121023812221
improved_v8,cart,z3,AUFNIRA_z3.637557.smt2.csv,2,1010,12,0.004038458744667332,0.38505995599559995,0.6780109290099876
improved_v8,cart,z3,AUFNIRA_z3.637557.smt2.csv,3,1010,12,0.004107475280548239,0.3016512651265144,0.6033678879540734
improved_v8,cart,z3,AUFNIRA_z3.637557.smt2.csv,4,1010,12,0.0037380331565288003,0.3171705170517025,0.6003993245484385
improved_v8,cart,z3,AUFNIRA_z3.637557.smt2.csv,5,1010,12,0.003908378681022942,0.29440924092409265,0.5998335869638128
improved_v8,cart,z3,AUFNIRA_z3.637557.smt2.csv,6,1010,12,0.003856553854205371,0.3236727172717282,0.6171613228064214
improved_v8,cart,z3,AUFNIRA_z3.637557.smt2.csv,7,1010,12,0.004096251041857077,0.3217548326261204,0.6206754863300982
improved_v8,cart,z3,AUFNIRA_z3.637557.smt2.csv,8,1010,12,0.003986244981932258,0.2966116611661171,0.586078415607438
improved_v8,cart,z3,AUFNIRA_z3.637557.smt2.csv,9,1010,12,0.004258680928876781,0.3104419299072778,0.6069448765378933
improved_v8,cart,z3,AUFNIRA_z3.637557.smt2.csv,10,1010,12,0.004120268299471107,0.31571452145214385,0.5863710983653334
improved_v8,cart,z3,AUFNIRA_z3.637557.smt2.csv,11,1010,12,0.004140505849644308,0.3060572057205715,0.5994702157771966
improved_v8,cart,z3,AUFNIRA_z3.637557.smt2.csv,12,1010,12,0.003951323682512338,0.3103085022787999,0.5846512553073854
improved_v8,cart,z3,AUFNIRA_z3.637557.smt2.csv,13,1010,12,0.003711345050992276,0.32843894389438893,0.666294504619907
improved_v8,cart,z3,AUFNIRA_z3.637557.smt2.csv,14,1010,12,0.00406530120556946,0.35321837183718313,0.6933814982979322
improved_v8,cart,z3,AUFNIRA_z3.637557.smt2.csv,15,1010,12,0.0037267761171287475,0.32108989470375543,0.6478289109222615
improved_v8,cart,z3,AUFNIRA_z3.637557.smt2.csv,16,1010,12,0.0038762635131380217,0.30847933364765245,0.5975302738844888
improved_v8,cart,z3,AUFNIRA_z3.637557.smt2.csv,17,1010,12,0.003973971858184385,0.30231298129813094,0.5387622849534892
improved_v8,cart,z3,AUFNIRA_z3.637557.smt2.csv,18,1010,12,0.004044087649846611,0.30815401540153975,0.6023997946972289
improved_v8,cart,z3,AUFNIRA_z3.637557.smt2.csv,19,1010,12,0.003861466076620906,0.27850220022002314,0.5415696708450117
improved_v8,cart,z3,AUFNIRA_z3.637557.smt2.csv,20,1010,12,0.004018038191799919,0.3563914034260575,0.6519936493500529
improved_v8,cart,z3,AUFNIRA_z3.637557.smt2.csv,21,1010,12,0.0036495178789100135,0.2790825082508248,0.546073238370855
improved_v8,cart,z3,AUFNIRA_z3.637557.smt2.csv,22,1010,12,0.003885994937439495,0.32211551155115453,0.6227945102655181
improved_v8,cart,z3,AUFNIRA_z3.637557.smt2.csv,23,1010,12,0.004021322682792203,0.3495740216878854,0.6818501240578528
improved_v8,cart,z3,AUFNIRA_z3.637557.smt2.csv,24,1010,12,0.0039058401707378356,0.3336232123212334,0.6335478811950855
improved_v8,cart,z3,AUFNIRA_z3.637557.smt2.csv,25,1010,12,0.0040119614375301,0.3117956938550989,0.6065352857512984
improved_v8,cart,z3,AUFNIRA_z3.637557.smt2.csv,26,1010,12,0.003843991720755624,0.3414196919691959,0.6666247750176979
improved_v8,cart,z3,AUFNIRA_z3.637557.smt2.csv,27,1010,12,0.0040737123047446585,0.34099064906490667,0.616355188112713
improved_v8,cart,z3,AUFNIRA_z3.637557.smt2.csv,28,1010,12,0.003994531552041469,0.32355500550054916,0.6281911804864193
improved_v8,cart,z3,AUFNIRA_z3.637557.smt2.csv,29,1010,12,0.003831554749602817,0.2864284928492857,0.550869694846617
improved_v8,cart,z3,AUFNIRA_z3.637557.smt2.csv,30,1010,12,0.004171385600123514,0.36997925506836526,0.7019898822602838
improved_v8,cart,z3,LRA_formula_277.smt2.csv,1,1010,12,0.0032638977294849247,0.008655115511551683,0.0167438121064983
improved_v8,cart,z3,LRA_formula_277.smt2.csv,2,1010,12,0.0037386792899168817,0.009585808580858418,0.016936287239215423
improved_v8,cart,z3,LRA_formula_277.smt2.csv,3,1010,12,0.0031593039956154144,0.009001650165016962,0.01637022113719526
improved_v8,cart,z3,LRA_formula_277.smt2.csv,4,1010,12,0.0035388644397207807,0.009648279113626208,0.016598042079131844
improved_v8,cart,z3,LRA_formula_277.smt2.csv,5,1010,12,0.0034807332535710276,0.00945379537953853,0.017088149660487398
improved_v8,cart,z3,LRA_formula_277.smt2.csv,6,1010,12,0.00308601733646951,0.008687804494735791,0.015786589656028586
