system,dataset,mape_mean_baseline,mae_mean_baseline,rmse_mean_baseline,mape_mean_improved,mae_mean_improved,rmse_mean_improved,mape_difference,mape_improvement_percent,mae_difference,mae_improvement_percent,rmse_difference,rmse_improvement_percent
batlik,corona.csv,0.12167557942380772,0.18037968821388545,0.2590718729549126,0.03461275371703973,0.05025285991874789,0.06704637800044862,0.08706282570676799,71.55324521079108,0.13012682829513755,72.14051071029655,0.19202549495446397,74.1205491604575
batlik,cranium.csv,0.03305911492757665,0.06916308156010446,0.0964087369311871,0.02095520064910404,0.04231274617113137,0.05522691781725605,0.012103914278472606,36.61294110561921,0.026850335388973093,38.821774251974986,0.04118181911393105,42.71585794483032
batlik,cubus.csv,0.03948338284303094,0.24349685494375678,0.33474199625908324,0.019230143244890176,0.11917824895522007,0.15393856098762507,0.020253239598140765,51.295603719313995,0.12431860598853671,51.05552842448498,0.18080343527145817,54.01277320803217
batlik,flame.csv,0.03216308124957075,0.057910150405410386,0.07693011556045387,0.020779580986296464,0.03757917638218435,0.04812195171940487,0.011383500263274286,35.393065032990926,0.020330974023226034,35.10779005216772,0.028808163841049,37.44718649019931
batlik,france.csv,0.039424595109345005,0.14576027526160004,0.19285377805273599,0.023420048981772155,0.08260951607996543,0.10611012530325027,0.01600454612757285,40.59533416433036,0.06315075918163461,43.32508227519204,0.08674365274948571,44.97897506875162
batlik,frisco.csv,0.05087922039265231,0.24662049487138824,0.331063386074748,0.033685962664014704,0.15511118798737228,0.1967500795075036,0.017193257728637605,33.79229790855946,0.09150930688401596,37.10531313779812,0.1343133065672444,40.570269083431334
batlik,jelly.csv,0.16950311161874293,0.3220240131317539,0.4392675445117263,0.024165830256890033,0.045332686538796525,0.07320933374783481,0.1453372813618529,85.7431347270808,0.27669132659295737,85.9225757427447,0.36605821076389145,83.33377126024376
batlik,karte.csv,0.15060699059797084,1.4931233595958393,1.8789950382451468,0.020230719342305293,0.25339191362551156,0.341603049280784,0.13037627125566553,86.56721094951759,1.2397314459703277,83.02940530686627,1.5373919889643628,81.81990679444168
batlik,mandelbrot.csv,0.046036753548064586,0.060932512214953084,0.08372500568139145,0.021805658187572668,0.02823833163314198,0.03671279091555735,0.02423109536049192,52.63424002127667,0.0326941805818111,53.656380466433184,0.0470122147658341,56.150745387507264
batlik,strawberry.csv,0.054620646716483076,0.09391293647137758,0.13055412852409903,0.024635165113328982,0.03961480638320029,0.05019162334199535,0.029985481603154094,54.897705182434734,0.054298130088177285,57.8175192133685,0.08036250518210368,61.554932111755875
batlik,village.csv,0.5689886789419177,1.7903326090078937,2.4517857621053527,0.02402232108236287,0.10815715500846698,0.3077012583825248,0.5449663578595548,95.77806695081624,1.6821754539994267,93.95882337928248,2.1440845037228278,87.44991250302793
