system,dataset,paired_runs,mape_median_baseline,mape_median_improved,mape_median_difference,mape_p_value,mape_significant_0_05,mape_better,mae_median_baseline,mae_median_improved,mae_median_difference,mae_p_value,mae_significant_0_05,mae_better,rmse_median_baseline,rmse_median_improved,rmse_median_difference,rmse_p_value,rmse_significant_0_05,rmse_better
batlik,corona.csv,30,0.12192328501394173,0.034663083791731886,0.08756249346038789,1.862645149230957e-09,True,improved_v8,0.18000721405876996,0.05032829400537733,0.12977640387322628,1.862645149230957e-09,True,improved_v8,0.2583215517832219,0.06721239980474839,0.19214520143462469,1.862645149230957e-09,True,improved_v8
batlik,cranium.csv,30,0.03300874554016162,0.020873107442858238,0.012299648990703481,1.862645149230957e-09,True,improved_v8,0.06935921278128222,0.04233748151113832,0.027511644288457215,1.862645149230957e-09,True,improved_v8,0.09649389635950129,0.0548371921890613,0.04146842400282402,1.862645149230957e-09,True,improved_v8
batlik,cubus.csv,30,0.039517353640505806,0.019129503621399098,0.020555826170416524,1.862645149230957e-09,True,improved_v8,0.2439354651401526,0.11914642077976946,0.12381917293497596,1.862645149230957e-09,True,improved_v8,0.3341123426336731,0.15324273539540822,0.1812071585198498,1.862645149230957e-09,True,improved_v8
batlik,flame.csv,30,0.03223160386431692,0.020831515838909465,0.011648288396282753,1.862645149230957e-09,True,improved_v8,0.057952684298279517,0.037642201090768816,0.02080803888915993,1.862645149230957e-09,True,improved_v8,0.07704569651353767,0.04795035917258082,0.028723258113902247,1.862645149230957e-09,True,improved_v8
batlik,france.csv,30,0.03927665709098224,0.023312865433428663,0.016046858831677804,1.862645149230957e-09,True,improved_v8,0.14653689482614254,0.08282276934099853,0.06369681273130257,1.862645149230957e-09,True,improved_v8,0.19257217706050211,0.10648744189998713,0.08705749787045733,1.862645149230957e-09,True,improved_v8
batlik,frisco.csv,30,0.050698031345144064,0.03362408067723513,0.01713015411529945,1.862645149230957e-09,True,improved_v8,0.24507062855133438,0.1554947667590897,0.09089383645424094,1.862645149230957e-09,True,improved_v8,0.32919808101107,0.1966329155211695,0.13341740616273684,1.862645149230957e-09,True,improved_v8
batlik,jelly.csv,30,0.16934874011185244,0.02417271976574714,0.14451041825160638,1.862645149230957e-09,True,improved_v8,0.3205513183102825,0.04515038639175153,0.27658805870448966,1.862645149230957e-09,True,improved_v8,0.43959967778994374,0.07343323927681228,0.36347153870572735,1.862645149230957e-09,True,improved_v8
batlik,karte.csv,30,0.1506080246758826,0.020233720333417318,0.13058100115664603,1.862645149230957e-09,True,improved_v8,1.4957805425752488,0.25415352091003135,1.2419393056418886,1.862645149230957e-09,True,improved_v8,1.8829169554332386,0.3402420436636723,1.531453007740165,1.862645149230957e-09,True,improved_v8
batlik,mandelbrot.csv,30,0.045857451938637314,0.021711135904799745,0.024126736179033284,1.862645149230957e-09,True,improved_v8,0.06070161102612362,0.028240474046310447,0.032524691109125925,1.862645149230957e-09,True,improved_v8,0.0837341599985113,0.03692523797320484,0.046533391243755384,1.862645149230957e-09,True,improved_v8
batlik,strawberry.csv,30,0.0542905806246364,0.024560390421584522,0.029461886516313585,1.862645149230957e-09,True,improved_v8,0.09333533125363863,0.03965623578267494,0.05352336195137293,1.862645149230957e-09,True,improved_v8,0.13074096014531966,0.05015471532605455,0.0791547417560036,1.862645149230957e-09,True,improved_v8
batlik,village.csv,30,0.5677969707893699,0.0238726275130626,0.5442759401822945,1.862645149230957e-09,True,improved_v8,1.7843284732726565,0.10781276630334535,1.6817230256532962,1.862645149230957e-09,True,improved_v8,2.452608060085704,0.3102369175057035,2.171239616635278,1.862645149230957e-09,True,improved_v8
dconvert,jpeg-large.csv,30,0.1360225311858005,0.026565692037234277,0.10931499020116572,1.862645149230957e-09,True,improved_v8,0.4183713716517967,0.08817107894175445,0.33070297123040915,1.862645149230957e-09,True,improved_v8,0.5612036765943565,0.12570052595948455,0.4365303202972153,1.862645149230957e-09,True,improved_v8
dconvert,jpeg-medium.csv,30,0.1029967741708995,0.02161560732829649,0.08151931308276406,1.862645149230957e-09,True,improved_v8,0.17862456179629543,0.037530976674119206,0.14093033575631578,1.862645149230957e-09,True,improved_v8,0.2398683834373264,0.05053875250993837,0.18917988880640968,1.862645149230957e-09,True,improved_v8
dconvert,jpeg-small.csv,30,0.03481447045997313,0.032219500862800246,0.0027994814513265937,1.862645149230957e-09,True,improved_v8,0.014948915665781843,0.013828203759384795,0.001170623953673156,1.862645149230957e-09,True,improved_v8,0.01910392130287054,0.017888763275221917,0.0011979373782133387,1.862645149230957e-09,True,improved_v8
dconvert,png-large.csv,30,0.09340980770485417,0.024212946867338596,0.06906253381690283,1.862645149230957e-09,True,improved_v8,0.2192116079313094,0.05880761763991428,0.16045574958971964,1.862645149230957e-09,True,improved_v8,0.27954847572589414,0.07736174138244342,0.20227177103598515,1.862645149230957e-09,True,improved_v8
dconvert,png-medium.csv,30,0.03556770390521535,0.02639100006817841,0.009228679853626263,1.862645149230957e-09,True,improved_v8,0.02315781621840382,0.016762137421498235,0.0064621021428969885,1.862645149230957e-09,True,improved_v8,0.02933825163372685,0.021272074152754568,0.007896820357604691,1.862645149230957e-09,True,improved_v8
dconvert,png-small.csv,30,0.032997051929343206,0.03298608048793299,-1.2475336605526077e-06,0.2988441474735737,False,baseline_lr,0.014818542663976721,0.014801394838812869,1.5227254019593156e-07,0.8552717231214046,False,improved_v8,0.01957990665797727,0.01952751113310615,3.4885797281503095e-07,0.3817984350025654,False,improved_v8
dconvert,psd-large.csv,30,0.014328867624473116,0.014329481935650038,-3.4427240369269696e-07,2.60770320892334e-08,True,baseline_lr,0.5388700688781123,0.5388514046931046,1.6084014633710453e-05,1.862645149230957e-09,True,improved_v8,0.8799363728574023,0.8799360528540818,-8.155738716042471e-07,0.370740607380867,False,baseline_lr
dconvert,psd-medium.csv,30,0.052105642270142125,0.024197653225786847,0.027975822078029643,1.862645149230957e-09,True,improved_v8,0.06751789088546936,0.031223879163023053,0.036478845918851546,1.862645149230957e-09,True,improved_v8,0.08944045783963361,0.04020293214083376,0.04939769864999294,1.862645149230957e-09,True,improved_v8
dconvert,psd-small.csv,30,0.035698589494134965,0.03570152744313566,-2.1162418156611684e-06,0.0037444327026605606,True,baseline_lr,0.020054277976441062,0.020056071718895632,-1.250537487298975e-06,0.0006084088236093521,True,baseline_lr,0.024953172400569067,0.02495355571602749,4.3209799767580936e-07,0.6554384250193834,False,improved_v8
dconvert,svg-large.csv,30,0.0204146400090211,0.02040293488415769,6.369043913604516e-06,0.0037444327026605606,True,improved_v8,0.030777147213847687,0.030759615119746626,9.50535926718711e-06,0.004031794145703316,True,improved_v8,0.03936259349528069,0.039304650755680244,3.496398528988337e-05,1.862645149230957e-09,True,improved_v8
dconvert,svg-medium.csv,30,0.01724407759527328,0.01724980550396421,-2.014324726391445e-06,0.02084985189139843,True,baseline_lr,0.026540273383470852,0.02654350735038087,-2.7828337968802824e-06,0.027741437777876854,True,baseline_lr,0.03322529338675535,0.03322882787492582,-1.4513334665906819e-06,0.03841841779649258,True,baseline_lr
dconvert,svg-small.csv,30,0.03597064366450945,0.02431469475236977,0.01165593651006328,1.862645149230957e-09,True,improved_v8,0.02027255357215332,0.01363638566244254,0.006677570155718203,1.862645149230957e-09,True,improved_v8,0.025411680165911485,0.017343317069247924,0.008169821832819831,1.862645149230957e-09,True,improved_v8
