approach,system,dataset,repeats,most_selected_model,mape_mean,mae_mean,rmse_mean
improved_v8,batlik,corona.csv,30,cart,0.03461275371703973,0.05025285991874789,0.06704637800044862
improved_v8,batlik,cranium.csv,30,cart,0.02095520064910404,0.04231274617113137,0.05522691781725605
improved_v8,batlik,cubus.csv,30,cart,0.019230143244890176,0.11917824895522007,0.15393856098762507
improved_v8,batlik,flame.csv,30,cart,0.020779580986296464,0.03757917638218435,0.04812195171940487
improved_v8,batlik,france.csv,30,cart,0.023420048981772155,0.08260951607996543,0.10611012530325027
improved_v8,batlik,frisco.csv,30,cart,0.033685962664014704,0.15511118798737228,0.1967500795075036
improved_v8,batlik,jelly.csv,30,cart,0.024165830256890033,0.045332686538796525,0.07320933374783481
improved_v8,batlik,karte.csv,30,cart,0.020230719342305293,0.25339191362551156,0.341603049280784
improved_v8,batlik,mandelbrot.csv,30,cart,0.021805658187572668,0.02823833163314198,0.03671279091555735
improved_v8,batlik,strawberry.csv,30,cart,0.024635165113328982,0.03961480638320029,0.05019162334199535
improved_v8,batlik,village.csv,30,cart,0.02402232108236287,0.10815715500846698,0.3077012583825248
improved_v8,dconvert,jpeg-large.csv,30,cart,0.026553899741816565,0.08807148727354717,0.12543611963686796
improved_v8,dconvert,jpeg-medium.csv,30,cart,0.02150439972744635,0.03750396212374595,0.05080955239975734
improved_v8,dconvert,jpeg-small.csv,30,cart,0.032163915871250094,0.013816498636734887,0.017900500505493334
improved_v8,dconvert,png-large.csv,30,cart,0.024292333230050187,0.05887314155659367,0.07758000217468433
improved_v8,dconvert,png-medium.csv,30,cart,0.026377622212712542,0.016748078187855564,0.02128858461267153
improved_v8,dconvert,png-small.csv,30,ridge_onehot,0.03306678934616992,0.014848034023651781,0.01961677375347457
improved_v8,dconvert,psd-large.csv,30,ridge_onehot,0.014340678836053286,0.5380169317616434,0.8799257928633554
improved_v8,dconvert,psd-medium.csv,30,cart,0.024184973895638343,0.031163414419769612,0.04006260501514684
improved_v8,dconvert,psd-small.csv,30,ridge_onehot,0.035721478406580826,0.020007917551505175,0.0249109348983992
improved_v8,dconvert,svg-large.csv,30,ridge_onehot,0.020390744562940856,0.030731747476221413,0.039220075464033395
improved_v8,dconvert,svg-medium.csv,30,ridge_onehot,0.017253667228501683,0.02655575120405869,0.03319668892914028
improved_v8,dconvert,svg-small.csv,30,cart,0.024360784682045153,0.01363961213776371,0.0173198174383431
improved_v8,h2,smallbank-1.csv,30,cart,0.0411892562700252,788.5115024537255,1030.8760956769606
improved_v8,h2,smallbank-10.csv,30,cart,0.02406271048464913,322.0787808095146,433.7100632712319
improved_v8,h2,tpcc-2.csv,30,cart,0.03089314625235048,22.566521386414436,28.712493081567587
improved_v8,h2,tpcc-8.csv,30,ridge_onehot,0.20445567737481513,107.9564430037992,167.94407260898603
improved_v8,h2,voter-16.csv,30,cart,0.01917642261317058,620.2335241798718,836.2849497457968
improved_v8,h2,voter-2.csv,30,cart,0.018592828295448612,595.7077469849924,841.0759432530325
improved_v8,h2,ycsb-2400.csv,30,cart,0.044024644761814356,616.1860542722533,792.8574704772493
improved_v8,h2,ycsb-600.csv,30,cart,0.03850846836953341,788.7184196146897,1047.0763271204928
improved_v8,jump3r,beethoven.wav.csv,30,cart,0.16747018285142476,1.682971603631415,2.4801032554995373
improved_v8,jump3r,dual-channel.wav.csv,30,cart,0.1660520084561919,0.482405460129467,0.7062322155038048
improved_v8,jump3r,helix.wav.csv,30,cart,0.17221350026146723,0.8890648929956693,1.4459292519318594
improved_v8,jump3r,single-channel.wav.csv,30,cart,0.1465042517505887,0.267450455473268,0.3767801121830599
improved_v8,jump3r,speech.wav.csv,30,cart,0.1432657943436529,0.6512531035844906,0.9154840149949026
improved_v8,jump3r,sweep.wav.csv,30,cart,0.09411953521998592,0.05704894715920141,0.07974401892944025
improved_v8,kanzi,ambivert.csv,30,cart,0.17251901956852222,1.7364583278176304,3.4074957083892548
improved_v8,kanzi,artificl.csv,30,cart,0.06163270487394201,0.029043350373430216,0.06165227039301461
improved_v8,kanzi,deepfield.csv,30,cart,0.16775365962105526,1.4308053788332478,3.388803852697854
improved_v8,kanzi,enwik8.csv,30,cart,0.14522151656084112,2.5155210926221274,6.0937907918808625
improved_v8,kanzi,fannie_mae_500k.csv,30,cart,0.1414355900262529,1.5763856935505691,4.364231869857583
improved_v8,kanzi,large.csv,30,cart,0.09747059261240625,0.2778178556251,0.6006543887293493
improved_v8,kanzi,misc.csv,30,cart,0.081527807872894,0.05700374322351774,0.09045235731266944
improved_v8,kanzi,silesia.csv,30,cart,0.15652493900294223,4.885148536480508,10.733932554848204
improved_v8,kanzi,vmlinux.csv,30,cart,0.12358372215752775,6.955828392807917,22.517963433115586
improved_v8,lrzip,ambivert.wav.tar.csv,30,ridge_onehot,1.647925874365255,14.369700128573474,22.63550291909849
improved_v8,lrzip,artificl.tar.csv,30,cart,13.205049368960344,1.20630062036978,1.4725881588248435
improved_v8,lrzip,deepfield.tar.csv,30,ridge_onehot,1.6870386010706504,14.475381355324675,22.548383764900944
improved_v8,lrzip,enwik8.tar.csv,30,ridge_onehot,1.175916626556193,19.75771796759052,28.50489202015346
improved_v8,lrzip,fannie_mae_500k.tar.csv,30,ridge_onehot,0.12024379621841827,5.201681767463494,7.541710360252477
improved_v8,lrzip,large.tar.csv,30,ridge_onehot,1.01835436213507,2.3273848223232476,3.12584820592209
improved_v8,lrzip,misc.tar.csv,30,cart,2.724774770188412,1.2822594885814194,1.5270713548227184
improved_v8,lrzip,silesia.tar.csv,30,ridge_onehot,1.362820338369373,33.27513141329213,47.61423377247631
improved_v8,lrzip,uiq-32.bin.csv,30,ridge_onehot,2.310844099198729,57.15054986683983,82.8498804920574
improved_v8,lrzip,uiq2-16.bin.csv,30,ridge_onehot,2.0345372819738166,30.253066171774424,43.568001043377585
improved_v8,lrzip,uiq2-4.bin.csv,30,ridge_onehot,1.2902892425153532,7.111992749898141,10.627527491283793
improved_v8,lrzip,uiq2-8.bin.csv,30,ridge_onehot,1.6535836932015868,15.28151864824383,22.198816954503968
improved_v8,lrzip,vmlinux-5.10.tar.csv,30,ridge_onehot,0.8184262173307407,4.5866761757556676,6.7665744399751615
improved_v8,x264,Johnny_1280x720_60_short.y4m.csv,30,cart,0.12753139174473305,0.9873996603647662,2.4988535650109776
improved_v8,x264,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m.csv,30,cart,0.12234572343957316,3.404500223955184,8.254041141852808
improved_v8,x264,blue_sky_1080p25_short.y4m.csv,30,cart,0.12272800411687726,1.208130323652294,3.0075159276340595
improved_v8,x264,pedestrian_area_1080p25_short.y4m.csv,30,cart,0.12306600407167398,1.4078459708784443,3.4698013624895734
improved_v8,x264,riverbed_1080p25_short.y4m.csv,30,cart,0.12541365296939416,2.7013681289780918,6.763651254901431
improved_v8,x264,sd_bridge_close_cif_short.y4m.csv,30,cart,0.09458556919584583,0.055446471415319415,0.12738689196873204
improved_v8,x264,sd_city_4cif_short.y4m.csv,30,cart,0.1219475557471213,0.5403981108830425,1.3859963006253895
improved_v8,x264,sd_crew_cif_short.y4m.csv,30,cart,0.107445519912469,0.09412295057532183,0.231322912396723
improved_v8,x264,sintel_trailer_2k_720p24_short.y4m.csv,30,cart,0.10044195904921721,0.15410194853077733,0.36640420663631185
improved_v8,xz,ambivert.wav.tar.csv,30,cart,0.026585630973047916,0.5848901110315936,1.4427808771504727
improved_v8,xz,artificl.tar.csv,30,ridge_onehot,0.2952854323618988,0.006401604197669232,0.007708954923540411
improved_v8,xz,deepfield.tar.csv,30,cart,0.02637831102246435,0.36851930317260634,0.6623491920647993
improved_v8,xz,enwik8.tar.csv,30,cart,0.07344033453105833,9.760108085380704,33.2000961680199
improved_v8,xz,fannie_mae_500k.tar.csv,30,cart,0.026538438433065737,1.0698810519479922,2.1364235095257613
improved_v8,xz,large.tar.csv,30,cart,0.02343785875565899,0.1103576909155124,0.19363010704097286
improved_v8,xz,misc.tar.csv,30,cart,0.04604709231924379,0.020434002678227554,0.04984838242099276
improved_v8,xz,silesia.tar.csv,30,cart,0.024366047751976934,2.650716039860702,5.513747980355946
improved_v8,xz,uiq-32.bin.csv,30,cart,0.06397556655401605,10.674588643437575,30.04844612996074
improved_v8,xz,uiq2-16.bin.csv,30,cart,0.06703315476300688,4.8961773818736605,14.91387890971256
improved_v8,xz,uiq2-4.bin.csv,30,cart,0.02507385492177074,0.25068933127012705,0.4825552710618587
improved_v8,xz,uiq2-8.bin.csv,30,cart,0.0645504891797426,2.174522265196582,6.315593269336043
improved_v8,xz,vmlinux-5.10.tar.csv,30,cart,0.021784653452511262,0.16478311992864014,0.3437935728804527
improved_v8,z3,AUFNIRA_z3.637557.smt2.csv,30,cart,0.003959849433227741,0.3199576143328621,0.6154956283174672
improved_v8,z3,LRA_formula_277.smt2.csv,30,cart,0.003457348881250512,0.009456776153806338,0.01727384900254938
improved_v8,z3,QF_AUFBV_891_sqlite3.smt2.csv,30,cart,0.01770086021971001,0.5067629184347006,1.5056710223113932
improved_v8,z3,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2.csv,30,cart,0.004474013015678442,0.03811720231546967,0.056984473618109065
improved_v8,z3,QF_BV_bench_3176.smt2.csv,30,cart,0.010614065298481886,1.6333649104196135,4.322862165018907
improved_v8,z3,QF_BV_bench_935.smt2.csv,30,cart,0.007736702204263231,1.034823670700404,2.453375975450591
improved_v8,z3,QF_LIA_tightrhombus.csv,30,cart,0.007636053472481938,0.010281427785635865,0.017560129862701952
improved_v8,z3,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2.csv,30,cart,0.0012690392837134503,0.018134289381319058,0.026438738233000064
improved_v8,z3,QF_NRA_hong_9.smt2.csv,30,ridge_onehot,0.002147203112769842,0.009296420432877482,0.016040599033451532
improved_v8,z3,QF_RDL_orb08_888.smt2.csv,30,cart,0.004161920999888573,0.04213914820053436,0.05612722064875592
