approach,chosen_model,system,dataset,repeat,num_rows,num_features,mape,mae,rmse
baseline_lr,linear_regression,batlik,corona.csv,13,1919,11,0.12453794899205499,0.18556879666806403,0.2657694712200936
improved_v8,cart,batlik,corona.csv,13,1919,11,0.034584461578844525,0.051337393123851466,0.06817961187829912
baseline_lr,linear_regression,batlik,corona.csv,14,1919,11,0.11828116411420542,0.1791823422230308,0.2612430763288404
improved_v8,cart,batlik,corona.csv,14,1919,11,0.03565715413203702,0.05273502478272215,0.06985774429027335
baseline_lr,linear_regression,batlik,corona.csv,15,1919,11,0.11698361660017925,0.17585844388514213,0.26182474601726946
improved_v8,cart,batlik,corona.csv,15,1919,11,0.035156191960583026,0.050651776271567944,0.0682596984309346
baseline_lr,linear_regression,batlik,corona.csv,16,1919,11,0.1274618582369914,0.18880559976531225,0.2673796333550846
improved_v8,cart,batlik,corona.csv,16,1919,11,0.033439249693312245,0.049549346294137965,0.06593190156892549
baseline_lr,linear_regression,batlik,corona.csv,17,1919,11,0.12318179357057622,0.18493168569864088,0.2692779478783258
improved_v8,cart,batlik,corona.csv,17,1919,11,0.03421132738231272,0.049584901402609724,0.06620255855055159
baseline_lr,linear_regression,batlik,corona.csv,18,1919,11,0.12114768432727852,0.18247903690449363,0.26476165887962877
improved_v8,cart,batlik,corona.csv,18,1919,11,0.034785725651349866,0.05046346400513069,0.06807757576711529
baseline_lr,linear_regression,batlik,corona.csv,19,1919,11,0.12265831582866543,0.17936852123230723,0.25434498650412746
improved_v8,cart,batlik,corona.csv,19,1919,11,0.035100460586305414,0.05114705587622256,0.06876607012463129
baseline_lr,linear_regression,batlik,corona.csv,20,1919,11,0.12322500023469389,0.17652817912158478,0.24957146506709232
improved_v8,cart,batlik,corona.csv,20,1919,11,0.03565786855627814,0.05187786846641015,0.0690612324749547
baseline_lr,linear_regression,batlik,corona.csv,21,1919,11,0.11641962584319598,0.17380220903879534,0.2539454249418707
improved_v8,cart,batlik,corona.csv,21,1919,11,0.03556395799926709,0.05024940549419716,0.06710174028408833
baseline_lr,linear_regression,batlik,corona.csv,22,1919,11,0.12431465123494395,0.17845296205508157,0.25644931998011256
improved_v8,cart,batlik,corona.csv,22,1919,11,0.034026039196588816,0.04917219581151874,0.06428322936989035
baseline_lr,linear_regression,batlik,corona.csv,23,1919,11,0.12092745868237559,0.18113591633775325,0.25837904543970874
improved_v8,cart,batlik,corona.csv,23,1919,11,0.03457750040799403,0.050407182516557514,0.06758271325012334
baseline_lr,linear_regression,batlik,corona.csv,24,1919,11,0.12016150985830779,0.17688521281786257,0.256377839063075
improved_v8,cart,batlik,corona.csv,24,1919,11,0.03454067140172601,0.04876665493071744,0.06425352680404785
baseline_lr,linear_regression,batlik,corona.csv,25,1919,11,0.11536000467104758,0.17356073140823472,0.2559924063257923
improved_v8,cart,batlik,corona.csv,25,1919,11,0.03439310882499766,0.050053563527521855,0.06691130756700973
baseline_lr,linear_regression,batlik,corona.csv,26,1919,11,0.11247596554521729,0.16617547304617256,0.24393593216306717
improved_v8,cart,batlik,corona.csv,26,1919,11,0.033548637187966183,0.048832171493629825,0.06526646307957135
baseline_lr,linear_regression,batlik,corona.csv,27,1919,11,0.12207375788492371,0.18077979667171876,0.25826405812673503
improved_v8,cart,batlik,corona.csv,27,1919,11,0.03449904862489781,0.05002332977593395,0.06768901702433702
baseline_lr,linear_regression,batlik,corona.csv,28,1919,11,0.12510331789273493,0.18655098074150786,0.26819204617841325
improved_v8,cart,batlik,corona.csv,28,1919,11,0.0360209330907965,0.05206165018582782,0.06858018045518431
baseline_lr,linear_regression,batlik,corona.csv,29,1919,11,0.12018678766104404,0.17852188438420416,0.25595716878317887
improved_v8,cart,batlik,corona.csv,29,1919,11,0.032384671590642254,0.04685188764746057,0.06227308506600528
baseline_lr,linear_regression,batlik,corona.csv,30,1919,11,0.11529648584025996,0.18006073309917853,0.26625651141655277
improved_v8,cart,batlik,corona.csv,30,1919,11,0.03276625174308751,0.04832154304029304,0.06449883918911313
baseline_lr,linear_regression,batlik,cranium.csv,1,1919,11,0.0338422753351887,0.06980596556108419,0.09495804836824352
improved_v8,cart,batlik,cranium.csv,1,1919,11,0.020298168096208286,0.04090019122126965,0.05414055843915514
baseline_lr,linear_regression,batlik,cranium.csv,2,1919,11,0.03346394797055374,0.06935850023946727,0.09662098513253864
improved_v8,cart,batlik,cranium.csv,2,1919,11,0.021191922357047782,0.04196671133650301,0.05360372794206152
baseline_lr,linear_regression,batlik,cranium.csv,3,1919,11,0.03312167553122112,0.06850292846795888,0.09399633825675051
improved_v8,cart,batlik,cranium.csv,3,1919,11,0.020877371381932384,0.042235025246744,0.055041094950013386
baseline_lr,linear_regression,batlik,cranium.csv,4,1919,11,0.03298772818467526,0.07006409637744396,0.09897142666125
improved_v8,cart,batlik,cranium.csv,4,1919,11,0.02070408841034173,0.04157750833271667,0.0538292818944695
baseline_lr,linear_regression,batlik,cranium.csv,5,1919,11,0.032452220955436754,0.0685304390237487,0.09672625946546713
improved_v8,cart,batlik,cranium.csv,5,1919,11,0.022045329252648932,0.04450540479460435,0.05714691489655583
baseline_lr,linear_regression,batlik,cranium.csv,6,1919,11,0.033029762895647984,0.0698514614903641,0.09677260267475568
improved_v8,cart,batlik,cranium.csv,6,1919,11,0.021922254994762184,0.04480670713353005,0.05867675717421251
baseline_lr,linear_regression,batlik,cranium.csv,7,1919,11,0.034348763771961,0.07170022676319435,0.10007907994432673
improved_v8,cart,batlik,cranium.csv,7,1919,11,0.02119190661606497,0.04271480930335098,0.05537257558710334
baseline_lr,linear_regression,batlik,cranium.csv,8,1919,11,0.03360575568114705,0.07180799742062673,0.1001848993470417
improved_v8,cart,batlik,cranium.csv,8,1919,11,0.021211797639734666,0.04392021842933304,0.059125790578608735
baseline_lr,linear_regression,batlik,cranium.csv,9,1919,11,0.03164996011717921,0.06685752889281178,0.09349590309539456
improved_v8,cart,batlik,cranium.csv,9,1919,11,0.019930229150293563,0.04046674236257571,0.05368190800758875
baseline_lr,linear_regression,batlik,cranium.csv,10,1919,11,0.03362144532510214,0.06935992532309718,0.09418913048853447
improved_v8,cart,batlik,cranium.csv,10,1919,11,0.020711210517835532,0.04157024071607404,0.054061230080611845
baseline_lr,linear_regression,batlik,cranium.csv,11,1919,11,0.032887344985930565,0.06849286329758472,0.09564682648136211
improved_v8,cart,batlik,cranium.csv,11,1919,11,0.020220670259733405,0.04076973537650622,0.05418458510411209
baseline_lr,linear_regression,batlik,cranium.csv,12,1919,11,0.03221804424101868,0.0674198286910655,0.09411493041149246
improved_v8,cart,batlik,cranium.csv,12,1919,11,0.02028483260778559,0.04045816847118932,0.05213330837656879
baseline_lr,linear_regression,batlik,cranium.csv,13,1919,11,0.035128571363646374,0.07373629593448164,0.10293427840853207
improved_v8,cart,batlik,cranium.csv,13,1919,11,0.021050578643055925,0.04291319964757467,0.05626614106828938
baseline_lr,linear_regression,batlik,cranium.csv,14,1919,11,0.032750563728339295,0.06822239702466965,0.09250497291541819
improved_v8,cart,batlik,cranium.csv,14,1919,11,0.020924233083528167,0.042407739378271185,0.05488469001623529
baseline_lr,linear_regression,batlik,cranium.csv,15,1919,11,0.033097210229833654,0.0695345052353492,0.09860770109385474
improved_v8,cart,batlik,cranium.csv,15,1919,11,0.019394058097685688,0.03838503712722464,0.050783304757346076
baseline_lr,linear_regression,batlik,cranium.csv,16,1919,11,0.033570410506173216,0.0701363397181592,0.09626430099028535
improved_v8,cart,batlik,cranium.csv,16,1919,11,0.02085764962672368,0.042723669174190015,0.05478969436188732
baseline_lr,linear_regression,batlik,cranium.csv,17,1919,11,0.03376111841500743,0.06899826121343762,0.09467594272340721
improved_v8,cart,batlik,cranium.csv,17,1919,11,0.020868843503784096,0.04120014919494087,0.05305412415213612
baseline_lr,linear_regression,batlik,cranium.csv,18,1919,11,0.03440403826954353,0.07250543310194885,0.10148312961917072
improved_v8,cart,batlik,cranium.csv,18,1919,11,0.0213192273730798,0.04288349832980654,0.05659571815110078
baseline_lr,linear_regression,batlik,cranium.csv,19,1919,11,0.03295197958461214,0.07018470455960123,0.09680037305943509
improved_v8,cart,batlik,cranium.csv,19,1919,11,0.02059714258842013,0.04226722364400545,0.054572759855602
baseline_lr,linear_regression,batlik,cranium.csv,20,1919,11,0.032501385210770346,0.06788403759122141,0.09466758007618915
improved_v8,cart,batlik,cranium.csv,20,1919,11,0.022638366116655602,0.045516739818823156,0.059275874995232986
baseline_lr,linear_regression,batlik,cranium.csv,21,1919,11,0.031858483639067466,0.06457859991507621,0.09180013963547276
improved_v8,cart,batlik,cranium.csv,21,1919,11,0.02075965857024749,0.041767443783068806,0.05571112087731679
baseline_lr,linear_regression,batlik,cranium.csv,22,1919,11,0.032878474285222586,0.06925583809435598,0.09636680758646393
improved_v8,cart,batlik,cranium.csv,22,1919,11,0.020791689471099287,0.04225389512108262,0.054273459716646974
baseline_lr,linear_regression,batlik,cranium.csv,23,1919,11,0.03348831781957362,0.07070212470741272,0.09791337610946049
improved_v8,cart,batlik,cranium.csv,23,1919,11,0.020593368268230886,0.04178977793040293,0.05458849431816659
baseline_lr,linear_regression,batlik,cranium.csv,24,1919,11,0.03139819309400005,0.06671429820856153,0.09566262279903358
improved_v8,cart,batlik,cranium.csv,24,1919,11,0.0214010322562411,0.043496119235702575,0.057571646000946455
baseline_lr,linear_regression,batlik,cranium.csv,25,1919,11,0.0311930925591821,0.06461245364026036,0.09123243527530517
improved_v8,cart,batlik,cranium.csv,25,1919,11,0.021803153626103036,0.043134188487053075,0.056037197051817304
baseline_lr,linear_regression,batlik,cranium.csv,26,1919,11,0.03098133073088041,0.06447802747637835,0.09322066843154062
improved_v8,cart,batlik,cranium.csv,26,1919,11,0.021031312024414352,0.04245622572836115,0.05462002768003803
baseline_lr,linear_regression,batlik,cranium.csv,27,1919,11,0.034258111969497226,0.07100630943644916,0.09671935829434333
improved_v8,cart,batlik,cranium.csv,27,1919,11,0.021438177894144077,0.04339569140350392,0.05583988852448106
baseline_lr,linear_regression,batlik,cranium.csv,28,1919,11,0.03461519405619636,0.07138628323261703,0.09853051327445952
improved_v8,cart,batlik,cranium.csv,28,1919,11,0.021196264631999567,0.04258690325877826,0.0550836306417345
baseline_lr,linear_regression,batlik,cranium.csv,29,1919,11,0.032849784575085646,0.0703877509529504,0.09968312450212737
improved_v8,cart,batlik,cranium.csv,29,1919,11,0.020858877824787077,0.04270472505889174,0.05711560068675214
baseline_lr,linear_regression,batlik,cranium.csv,30,1919,11,0.03285826279560568,0.06881702521175596,0.09743835281395628
improved_v8,cart,batlik,cranium.csv,30,1919,11,0.02054260458853225,0.04160869608786276,0.05474642863089017
baseline_lr,linear_regression,batlik,cubus.csv,1,1919,11,0.03941958516667291,0.24163059210794552,0.33407985289805536
improved_v8,cart,batlik,cubus.csv,1,1919,11,0.019255603750390732,0.11976875603177686,0.1571838761532369
baseline_lr,linear_regression,batlik,cubus.csv,2,1919,11,0.038159254848707615,0.23695669303465847,0.32799864056237693
improved_v8,cart,batlik,cubus.csv,2,1919,11,0.01894415543877662,0.11744171192256364,0.15214669552449792
baseline_lr,linear_regression,batlik,cubus.csv,3,1919,11,0.040636691857305056,0.2478801033566188,0.33996273288663
improved_v8,cart,batlik,cubus.csv,3,1919,11,0.01996073643447273,0.12390665834936672,0.15913234413763686
baseline_lr,linear_regression,batlik,cubus.csv,4,1919,11,0.03996920589894527,0.24853437538911516,0.34344388662033853
improved_v8,cart,batlik,cubus.csv,4,1919,11,0.01832596542983593,0.11386435709352376,0.1475029462005151
baseline_lr,linear_regression,batlik,cubus.csv,5,1919,11,0.03802967821111633,0.23449392589126283,0.33038232899645326
improved_v8,cart,batlik,cubus.csv,5,1919,11,0.020410233828014473,0.1267811172238255,0.16318650611405597
baseline_lr,linear_regression,batlik,cubus.csv,6,1919,11,0.04009860166173761,0.24961772105926647,0.3402403176244715
improved_v8,cart,batlik,cubus.csv,6,1919,11,0.018910061363278833,0.11615051547603625,0.1525972603755339
baseline_lr,linear_regression,batlik,cubus.csv,7,1919,11,0.04017361483698608,0.24381895444905,0.3318976588836742
improved_v8,cart,batlik,cubus.csv,7,1919,11,0.018696842839959947,0.11541019194925445,0.14930458240907665
baseline_lr,linear_regression,batlik,cubus.csv,8,1919,11,0.04083871885375345,0.2542608138797225,0.3433834941225139
improved_v8,cart,batlik,cubus.csv,8,1919,11,0.019138247157223676,0.11917787719610638,0.15251495887182942
baseline_lr,linear_regression,batlik,cubus.csv,9,1919,11,0.03913868901773508,0.24137281092081211,0.33396314894471857
improved_v8,cart,batlik,cubus.csv,9,1919,11,0.01986468560545869,0.12377491620069742,0.1589994284710873
baseline_lr,linear_regression,batlik,cubus.csv,10,1919,11,0.04043337310745769,0.24672524464700196,0.33692150803499754
improved_v8,cart,batlik,cubus.csv,10,1919,11,0.019745585335041244,0.12306034378430214,0.15950107528000668
baseline_lr,linear_regression,batlik,cubus.csv,11,1919,11,0.039702928725402264,0.24355687925796043,0.32466945272864156
improved_v8,cart,batlik,cubus.csv,11,1919,11,0.019990285807227795,0.12461295538838428,0.16119216159592073
baseline_lr,linear_regression,batlik,cubus.csv,12,1919,11,0.03905070306026921,0.24021284815679675,0.3341448323692909
