approach,chosen_model,system,dataset,repeat,num_rows,num_features,mape,mae,rmse
baseline_lr,linear_regression,batlik,france.csv,2,1919,11,0.04028077239010257,0.14657409318316772,0.19206670809767007
baseline_lr,linear_regression,batlik,france.csv,3,1919,11,0.039282277333075835,0.1458285219781933,0.193080121410683
baseline_lr,linear_regression,batlik,france.csv,4,1919,11,0.040027547813366204,0.14893021675661755,0.19702934184197704
baseline_lr,linear_regression,batlik,france.csv,5,1919,11,0.03734710011079537,0.14022596766629886,0.19063812767259286
baseline_lr,linear_regression,batlik,france.csv,6,1919,11,0.03926681250959885,0.14655300795344642,0.192915478480873
baseline_lr,linear_regression,batlik,france.csv,7,1919,11,0.038820610854104584,0.14333737419832102,0.18968593996586708
baseline_lr,linear_regression,batlik,france.csv,8,1919,11,0.04035890358023854,0.15147658985281676,0.19882859640478548
baseline_lr,linear_regression,batlik,france.csv,9,1919,11,0.03763138946784317,0.1412069506139949,0.18867185717137097
baseline_lr,linear_regression,batlik,france.csv,10,1919,11,0.04029865272067517,0.14746283734809484,0.19495941198116845
baseline_lr,linear_regression,batlik,france.csv,11,1919,11,0.04049123417458665,0.1472212725277988,0.1894967401624757
baseline_lr,linear_regression,batlik,france.csv,12,1919,11,0.0387483807463008,0.14300871987342026,0.18987437112342553
baseline_lr,linear_regression,batlik,france.csv,13,1919,11,0.03977587324739007,0.14766658423977827,0.19663882994307533
baseline_lr,linear_regression,batlik,france.csv,14,1919,11,0.038725228731783176,0.14367908176412847,0.18855658695382946
baseline_lr,linear_regression,batlik,france.csv,15,1919,11,0.040601770859520145,0.1494281972743434,0.2001636103403365
baseline_lr,linear_regression,batlik,france.csv,16,1919,11,0.03919871666819827,0.14539155084322888,0.19013557780522292
baseline_lr,linear_regression,batlik,france.csv,17,1919,11,0.03862253786064471,0.14060664543494303,0.18732326157001947
baseline_lr,linear_regression,batlik,france.csv,18,1919,11,0.04074254757804485,0.1519289790002482,0.2037486643694347
baseline_lr,linear_regression,batlik,france.csv,19,1919,11,0.03927103684888865,0.14757353614552673,0.1944921742309791
baseline_lr,linear_regression,batlik,france.csv,20,1919,11,0.039815322498459045,0.1469790098812481,0.1968871560595916
baseline_lr,linear_regression,batlik,france.csv,21,1919,11,0.03993412239156617,0.1414261495530346,0.18361342445532444
baseline_lr,linear_regression,batlik,france.csv,22,1919,11,0.0391830968450463,0.14559814421083692,0.19180368181215052
baseline_lr,linear_regression,batlik,france.csv,23,1919,11,0.03913246409172565,0.14652078169883867,0.19222887564013125
baseline_lr,linear_regression,batlik,france.csv,24,1919,11,0.03961761650634458,0.14877473352651938,0.1950533623959133
baseline_lr,linear_regression,batlik,france.csv,25,1919,11,0.03753604738458247,0.13726560467529675,0.186678239305637
baseline_lr,linear_regression,batlik,france.csv,26,1919,11,0.03861564979711171,0.1426934982168587,0.18788306938715746
baseline_lr,linear_regression,batlik,france.csv,27,1919,11,0.04084119900896613,0.14887746838715687,0.1943835284719381
baseline_lr,linear_regression,batlik,france.csv,28,1919,11,0.040781869813690474,0.14848008773907567,0.19670262038245254
baseline_lr,linear_regression,batlik,france.csv,29,1919,11,0.03777144216415462,0.14357756495042356,0.19512727530858176
baseline_lr,linear_regression,batlik,france.csv,30,1919,11,0.03924983668228114,0.144549251073269,0.1902773522466332
baseline_lr,linear_regression,batlik,frisco.csv,1,1919,11,0.053987191874179594,0.2562398668917099,0.32927505350489455
baseline_lr,linear_regression,batlik,frisco.csv,2,1919,11,0.052046570222089444,0.25442632549389277,0.3456873967886884
baseline_lr,linear_regression,batlik,frisco.csv,3,1919,11,0.05436566430595153,0.2595916192904184,0.3404381335199539
baseline_lr,linear_regression,batlik,frisco.csv,4,1919,11,0.05104979119878023,0.2505552793466972,0.3374536162473619
baseline_lr,linear_regression,batlik,frisco.csv,5,1919,11,0.04792893154151808,0.23253309187021978,0.31345229036491296
baseline_lr,linear_regression,batlik,frisco.csv,6,1919,11,0.05031488783743584,0.24506463368148435,0.3281795221003788
baseline_lr,linear_regression,batlik,frisco.csv,7,1919,11,0.05094073897220597,0.24485718992919836,0.3248026238931286
baseline_lr,linear_regression,batlik,frisco.csv,8,1919,11,0.05271539180567866,0.25637552018266013,0.3465599291342497
